"0x8ba948","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xbd","0xb3","0x9","0x0","0x65","20","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xbe","0xb5","0xb","0x0","0x65","18","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xbf","0xb5","0xb","0x0","0x65","20","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc0","0xb5","0xb","0x0","0x65","86","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xc1","0xb5","0xb","0x0","0x65","214","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xc2","0xb5","0xb","0x0","0x65","212","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x12","0xc","0x0"
"0xc3","0xb5","0xb","0x0","0x65","21","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xc4","0xb5","0xb","0x0","0x65","71","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc5","0xb5","0xb","0x0","0x65","204","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc6","0xb0","0x6","0x0","0x65","137","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc7","0xb0","0x6","0x0","0x65","73","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc8","0xb0","0x6","0x0","0x65","17","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc9","0xb0","0x6","0x0","0x65","145","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xca","0xab","0x1","0x0","0x65","209","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xcb","0xac","0x2","0x0","0x65","132","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xcc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xcd","0xca","0x1","0x0","0x0","255","255","0x0","0x0","0x1cf","0xff","0xff","0x0","0x0","0x0","0x0","0x0","0x0"
"0xce","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xe","0x1f","0x0","0xd"
"0xcf","0xa","0x1","0x0","0x2","76","185","0x8b","0x8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x8","0x1","0x0","0x0"
"0xd1","0xff","0xff","0x0","0x0","7","1","0x1","0xcc","0xffff","0x6","0x1","0x3","0x0","0xff","0xff","0x0","0x0"
"0xd2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd3","0x1","0x2","0x0","0x8","73","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd4","0x2","0x7","0x0","0x8","200","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd5","0xb","0x1b","0x0","0x8","8","1","0x0","0x2","0x88bb998","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd6","0x19","0x4b","0x0","0x8","72","1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd7","0xcc","0x48","0x0","0xb","0","1","0x0","0x1","0x88bb9a8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xd8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
