0x803d64,Name,Description,Number,Default Class,Portrait,Mini Portrait,Affinity,##UNKNOWN##,Base Level,Base HP,Base Pwr,Base Skl,Base Spd,Base Def,Base Res,Base Lck,Base Con,Sword Rank,Lance Rank,Axe Rank,Bow Rank,Staff Rank,Anima Rank,Light Rank,Dark Rank,HP Growth,Pwr Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Lck Growth,##UNKNOWN##,Attributes,Support Data Pointer,##UNKNOWN##
Beran (Ch10B Boss),0x248,0x2a2,0x5b,classRanger,0x3e,0x0,4,0x0,7,22,8,7,7,8,9,6,0,WR_B,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,35,35,25,15,30,0x0,CA_BOSS,0x0,0x0
Cyclops (Ch12B Boss),0x255,0x2b1,0x5c,classCyclops,0x0,0x4,5,0x0,9,18,7,3,3,2,10,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,35,35,25,15,30,0x0,CA_BOSS,0x0,0x0
Wight (Ch11A Boss),0x255,0x2b1,0x5d,classWight,0x0,0x4,5,0x0,8,15,5,10,7,4,7,1,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Deathgoyle (Ch11B Boss),0x255,0x2b1,0x5e,classDeathgoyle,0x0,0x4,5,0x0,8,14,5,9,6,4,4,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Entombed,0x255,0x2b1,0x5f,classEntombed,0x0,0x4,5,0x0,1,7,2,2,1,2,2,1,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,35,35,15,15,30,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x60,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x61,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x62,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x63,classBrigand,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
[Hunter],0x250,0x2ac,0x64,classThief,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_NONE,0x0,0x0
[Bandit],0x24f,0x2ad,0x65,classBrigand,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Bandit],0x24f,0x2ad,0x66,classBrigand,0x4c,0x6,2,0x0,1,2,2,2,2,2,2,2,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Bandit],0x24f,0x2ad,0x67,classBrigand,0x4d,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
O'Neill (Prologue Boss),0x249,0x2a3,0x68,classFighter,0x30,0x0,1,0x0,4,3,1,2,3,0,0,0,0,WR_NONE,WR_NONE,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Glen (Cutscene),0x24a,0x2a4,0x69,classWywernLord,0x4b,0x0,3,0x0,12,21,11,12,6,8,4,7,1,WR_B,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Zonta (Ch5x Boss),0x24b,0x2a5,0x6a,classMercenary,0x35,0x0,6,0x0,8,7,5,0,1,2,6,4,0,WR_C,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Vigarde (Ch14B Boss),0x24c,0x2a6,0x6b,classGeneral,0x40,0x0,7,0x0,13,31,13,10,8,7,9,9,2,WR_A,WR_S,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,85,50,10,10,10,15,30,0x0,CA_BOSS,0x0,0x0
Lyon (ChFinal Boss),0x234,0x2a7,0x6c,classNecromancer,0x4a,0x0,4,0x0,18,55,20,15,10,23,21,9,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_A,WR_NONE,WR_NONE,WR_S,60,20,30,35,15,15,25,0x0,CA_BOSS,0x0,0x0
Orson (Ch16 Boss),0x236,0x2a8,0x6d,classPaladin,0x44,0x0,5,0x0,13,25,11,11,7,6,8,6,1,WR_A,WR_A,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_BOSS,0x0,0x0
[Enemy],0x267,0x0,0x6e,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x6f,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x70,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x71,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x72,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x73,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x74,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x75,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x76,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x77,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x78,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x79,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x7a,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x7b,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x7c,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x7d,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x7e,classBrigand,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x7f,classCavalier,0x0,0x3,0,0x0,1,3,2,1,2,2,0,1,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x80,classFighter,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x81,classArcher,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x82,classFighter,0x0,0x3,0,0x0,1,2,0,-1,-3,3,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x83,classSoldier,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x84,classKnight,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x85,classCavalier,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x86,classMyrmidon,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x87,classMercenary,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x88,classThief,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x89,classMage,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x8a,classMonk,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x8b,classShaman,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Soldier],0x24d,0x2a9,0x8c,classTroubadour,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_FEMALE,0x0,0x0
[Remnant],0x24e,0x2aa,0x8d,classKnight,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Cutthroat],0x254,0x2ae,0x8e,classBrigand,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Remnant],0x24e,0x2aa,0x8f,classCavalier,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Remnant],0x24e,0x2aa,0x90,classShaman,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Remnant],0x24e,0x2aa,0x91,classMage,0x0,0x3,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x92,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x93,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x94,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x95,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x96,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x97,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x98,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x99,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9a,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9b,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9c,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9d,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9e,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0x9f,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa0,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa1,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa2,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa3,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa4,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa5,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Enemy],0x267,0x0,0xa6,classBrigand,0x0,0x3,0,0x0,0,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,0,0,0,0,0,0,0,0x0,CA_NONE,0x0,0x0
[Mercenary],0x253,0x2ab,0xa7,classMercenary,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Sellsword],0x251,0x2af,0xa8,classMercenary,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Remnant],0x252,0x2b0,0xa9,classMercenary,0x0,0x6,0,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xaa,classRenevant,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xab,classEntombed,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xac,classBonewalker,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xad,classBonewalkerBow,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xae,classWight,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xaf,classWightBow,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb0,classBael,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb1,classElderBael,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb2,classCyclops,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb3,classMauthedoog,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb4,classGwyllgi,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb5,classTarvos,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb6,classMaelduin,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
[Monster],0x255,0x2b1,0xb7,classMogall,0x0,0x4,5,0x0,1,0,0,0,0,0,0,0,0,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,WR_NONE,60,20,30,35,15,15,25,0x0,CA_NONE,0x0,0x0
