INLINE ClassTable 0xFF,Class Name,Class Description,Class Number,Default Promotion,Map Sprite# (standing),Walking Speed,Default Portrait,***UNKNOWN***,Base HP,Base STR,Base SKL,Base SPD,Base DEF,Base MDF,Base CON,Base MOV,Max HP,Max STR/MGC,Max SKL,Max SPD,Max DEF,Max MDF,Max CON,Class Relative Power,HP Growth,STR/MGC Growth,SKL Growth,SPD Growth,DEF Growth,MDF Growth,LUK Growth,HP Promotion Bonus,STR/MGC Promotion Bonus,SKL Promotion Bonus,SPD Promotion Bonus,DEF Promotion Bonus,MDF Promotion Bonus,Class Ability 1,Class Ability 2,Class Ability 3,Class Ability 4,Base Sword Level,Base Spear Level,Base Axe Level,Base Bow Level,Base Staff Level,Base Anima Level,Base Light Level,Base Dark Level,Battle Animation Pointer,Movement Type Pointer,Movement Cost(rain) Pointer,Movement Cost(snow) Pointer,Terrain defence bonus,Terrain avoid bonus,Terrain resistance bonus,***UNKNOWN*** Pointer
Fleet,0x2f0,0x33c,Fleet,Fleet,FleetSprite,0,0x92,0x0,19,1,1,2,5,0,25,3,60,20,20,20,30,20,25,3,75,35,40,32,15,15,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,71,0,0,0,0,0x0,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
Phantom,0x2f1,0x33d,Phantom,Phantom,PhantomSprite,0,0x98,0x1e,1,5,2,4,0,0,11,5,1,20,20,20,0,0,20,2,0,55,35,45,15,15,50,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,71,0,0,0,0,0,PhantomAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Patriarch,PatriarchNameText,PatriarchMatriarchDescText,Patriarch,Patriarch,PatriarchSprite,0,0x99,0x0,21,1,2,4,4,3,8,7,60,22,25,26,24,22,30,3,65,5,35,25,22,10,40,3,2,2,2,2,4,0x3,IsPromoted,0x0,0x0,0,0,0,0,Crank,0,Arank,0,PatriarchAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Matriarch,MatriarchNameText,PatriarchMatriarchDescText,Matriarch,Matriarch,MatriarchSprite,0,0x9a,0x0,19,1,2,5,4,2,9,7,60,22,25,25,26,21,30,3,65,5,35,25,22,10,50,3,2,1,2,2,4,0x3,IsPromoted|IsFemale,0x0,0x0,0,0,0,0,Crank,0,Arank,0,MatriarchAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
DarkKnightM,DarkKnightNameText,DarkKnightDescText,DarkKnightM,DarkKnightM,DarkKnightSprite,0,0x9b,0x0,21,3,4,6,6,9,11,7,60,24,25,25,25,30,25,3,70,20,27,25,17,45,25,4,2,1,2,3,2,0x3,IsPromoted|HorseIcon,0x0,0x0,Drank,0,0,0,Drank,0,0,Arank,DarkKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
DarkKnightF,DarkKnightNameText,DarkKnightDescText,DarkKnightF,DarkKnightF,DarkKnightFSprite,0,0x9b,0x0,19,3,4,5,3,6,4,7,60,24,28,26,21,25,20,3,45,20,30,25,10,40,15,4,2,1,2,3,2,0x3,IsPromoted|HorseIcon,0x0,0x0,Drank,0,0,0,Drank,0,0,Arank,DarkKnightAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Magus,MagusNameText,MagusDescText,Magus,Magus,MagusSprite,0,0x9c,0x0,20,5,2,4,5,5,7,6,60,22,30,26,21,25,20,3,45,10,30,25,10,40,15,3,1,1,1,1,3,0x3,IsPromoted,0x0,0x0,0,0,0,0,Erank,Arank,Drank,0,MagusMAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MagusF,MagusNameText,MagusDescText,MagusF,MagusF,MagusFSprite,0,0x9c,0x0,19,4,2,5,3,6,4,6,60,22,28,26,21,25,20,3,45,10,30,25,10,40,15,3,1,1,1,1,3,0x3,IsPromoted,0x0,0x0,0,0,0,0,Erank,Arank,Drank,0,MagusFAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MasterKnightF,MasterKnightNameText,MasterKnightDescText,MasterKnightF,MasterKnightF,GoldKnightSprite,0,0x9d,0x0,23,6,6,11,7,6,9,7,60,23,27,25,24,26,25,3,70,25,35,25,12,25,25,3,1,2,2,1,4,0x3,IsPromoted|HorseIcon,0x0,0x0,Brank,Arank,Crank,0,0,0,0,0,MasterKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Baron,BaronNameText,BaronDescText,Baron,Baron,CommanderSprite,1,0x9e,0x0,21,8,4,3,13,3,15,6,60,29,27,24,30,25,25,3,75,30,20,10,23,25,20,5,2,1,0,3,2,0x0,IsPromoted,0x0,0x0,Crank,Arank,Crank,0,0,0,0,0,CommanderAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
ImpalerM,ImpalerNameText,ImpalerDescText,ImpalerM,ImpalerM,ImpalerSprite,0,0x9f,0x0,18,6,5,6,4,4,12,6,60,25,30,30,25,25,25,3,70,20,30,30,13,28,25,2,2,2,3,1,2,CritBoost,IsPromoted,0x0,0x0,0,Arank,0,0,0,0,0,0,ImpalerMAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
WyvernGeneral,WyvernGeneralNameText,WyvernGeneralDescText,WyvernGeneral,WyvernGeneral,WyvernGeneralSprite,0,0xa0,0x0,25,9,5,7,10,1,11,8,60,27,25,23,28,22,25,3,75,40,30,20,20,17,20,4,3,1,1,2,0,0x3,IsPromoted|DragonIcon,0x0,0x0,0,Arank,Crank,0,0,0,0,0,WyvernGeneralAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
MarksmanM,MarksmanNameText,MarksmanDescText,MarksmanM,MarksmanM,MarksmanSprite,0,0xa1,0x0,19,6,6,7,5,3,9,6,60,24,30,29,24,24,20,3,65,30,30,20,15,25,30,3,2,2,2,1,2,0x0,IsPromoted,0x0,0x0,Crank,0,0,Arank,0,0,0,0,MarksmanAnim|IsPointer,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
MasterKnightM,MasterKnightNameText,MasterKnightDescText,MasterKnightM,MasterKnightM,GoldKnightSprite,0,0xa2,0x0,23,7,4,7,8,3,11,7,60,25,26,24,25,25,25,3,70,25,30,18,12,20,25,3,1,2,2,1,4,0x3,IsPromoted|HorseIcon,0x0,0x0,Brank,Arank,Crank,0,0,0,0,0,MasterKnightAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
ChampionM,ChampionNameText,ChampionDescText,ChampionM,ChampionM,ChampionSprite,0,0xa3,0x0,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,2,2,1,2,2,2,0x0,IsPromoted,0x0,0x0,Arank,0,Crank,0,0,0,0,0,ChampionMAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
TruebladeF,TruebladeNameText,TruebladeDescText,TruebladeF,TruebladeF,TruebladeFSprite,0,0xa4,0x0,22,6,10,11,6,3,9,6,60,24,30,26,24,24,25,3,75,30,30,20,20,20,25,1,2,2,3,1,3,CritBoost,IsPromoted,0x0,0x0,Arank,0,0,Crank,0,0,0,0,TruebladeFAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
TruebladeM,TruebladeNameText,TruebladeDescText,TruebladeM,TruebladeM,TruebladeSprite,0,0xa5,0x0,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,3,65,25,30,30,15,22,25,4,2,3,3,2,2,0x0,IsPromoted,0x2,0x0,Arank,0,0,0,0,0,0,0,TruebladeMAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
MountedBrigand,MountedBrigandNameText,MountedBrigandDescText,MountedBrigand,MountedBrigand,MountedBrigandSprite,0,0xa6,0x0,24,7,6,7,4,1,15,7,60,25,26,28,25,20,25,3,80,35,25,35,20,15,20,5,2,1,2,3,1,MountedAid|HasCanto,IsPromoted|HorseIcon,0x0,0x0,0,0,Arank,Brank,0,0,0,0,MountedBrigandAnim|IsPointer,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
Gladiator,GladiatorNameText,GladiatorDescText,Gladiator,Gladiator,BerserkerSprite,0,0xa7,0x0,24,7,6,7,6,0,13,6,60,30,29,28,23,21,25,3,75,50,35,25,10,13,15,4,3,1,2,2,3,0x0,IsPromoted,0x0,0x0,Crank,0,Arank,0,0,0,0,0,GladiatorAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
SeraphKnight,SeraphKnightNameText,SeraphKnightDescText,SeraphKnight,SeraphKnight,SeraphKnightSprite,0,0xa8,0x0,14,4,5,5,3,2,5,8,60,25,28,28,20,28,25,3,65,35,40,40,12,35,35,3,2,2,3,2,3,0x3,IsPromoted|PegIcon,0x0,0x0,Drank,Arank,0,0,Drank,Drank,0,0,SeraphKnightAnim|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
0x67 Archer on Ballista,0x0,0x0,0x67,0x0,ArcherOnBallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x68 Archer on Iron Ballista,0x0,0x0,0x68,0x0,ArcherOnIronBallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x69 Archer on Killer Ballista,0x0,0x0,0x69,0x0,ArcherOnKillerBallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6A Ballista,0x0,0x0,0x6a,0x0,BallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6B Iron Ballista,0x0,0x0,0x6b,0x0,IronBallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6C Killer Ballista,0x0,0x0,0x6c,0x0,KillerBallistaSprite,0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6D Civilian,LostSoulNameText,LostSoulDescText,0x6d,0x0,Civilian1Sprite,0,0x0,0x0,8,1,0,0,0,0,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6E Civilian (F),LostSoulNameText,LostSoulDescText,0x6e,0x0,Civilian2Sprite,0,0x0,0x0,7,0,0,0,0,1,3,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
0x6F Civilian,0x305,0x351,0x6f,0x0,Civilian3Sprite,0,0x59,0x0,10,0,1,0,0,2,6,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
0x70 Civilian (F),0x305,0x351,0x70,0x0,Civilian4Sprite,0,0x62,0x0,9,0,1,0,0,1,4,5,60,20,20,20,20,20,20,1,10,0,0,0,0,10,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0x0,0x880ba51,0x880bea2,0x880c2b2,0x880c479,0x880c4ba,0x880c4fb,0x0
MageM2,0x2d1,0x31d,MageM2,0x27,MageSprite,0,0x80,0x12,16,1,2,3,3,3,6,5,60,20,20,20,20,20,20,2,55,10,40,35,5,30,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af220,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MageF2,0x2d1,0x31d,MageF2,0x28,MageFSprite,0,0x80,0x12,16,1,3,2,2,4,3,5,60,20,20,20,20,20,20,2,55,10,40,35,5,40,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,31,0,0,0x88af234,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
ShamanM2,0x2e1,0x32c,ShamanM2,0x2f,ShamanSprite,1,0x80,0x1b,16,2,1,2,2,4,7,5,60,20,20,20,20,20,20,2,50,15,32,30,10,30,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2d8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
ShamanF2,0x2e1,0x32c,ShamanF2,0x30,ShamanFSprite,1,0x80,0x1b,15,2,1,1,1,5,3,5,60,20,20,20,20,20,20,2,50,15,32,30,10,40,20,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,31,0x88af2ec,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MonkM2,0x2e4,0x32f,MonkM2,0x0,MonkSprite,0,0x80,0x17,18,0,1,2,1,5,6,5,60,20,20,20,20,20,20,2,50,5,35,32,8,40,45,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,Crank,0,1,0,MonkMAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
MonkF2,0x2e4,0x32f,MonkF2,0x0,MonkFSprite,0,0x80,0x0,17,0,2,2,1,6,5,5,60,20,20,20,20,20,20,2,45,5,40,35,5,45,40,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,0,0,Crank,0,Crank,0,MonkFAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
CavalierM2,0x2c1,0x30d,CavalierM2,0x7,CavalierSprite,0,0x80,0x20,20,5,2,5,6,0,9,7,60,20,20,20,20,20,25,2,75,35,40,28,15,15,30,0,0,0,0,0,0,0x3,HorseIcon,0x0,0x0,1,31,0,0,0,0,0,0,0x88af008,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
CavalierF2,0x2c1,0x30d,CavalierF2,0x8,CavalierFSprite,0,0x80,0x20,18,5,3,3,6,0,9,7,60,20,20,20,20,20,25,2,75,35,40,28,15,15,30,0,0,0,0,0,0,0x3,HorseIcon,0x0,0x0,1,31,0,0,0,0,0,0,0x88af018,0x880ba92,0x880bee3,0x880c2f3,0x880c479,0x880c4ba,0x880c4fb,0x0
Knight2,0x2c3,0x30f,Knight2,0xb,KnightSprite,1,0x80,0xc,17,5,2,0,7,0,13,5,60,20,20,20,20,20,20,2,80,40,30,15,28,20,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,Crank,Drank,0,0,0,0,0,KnightAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
SoldierM2,0x2ed,0x339,SoldierM2,0x0,SoldierSprite,0,0x80,0x0,20,3,0,1,0,0,10,5,60,20,20,20,20,20,20,2,80,50,30,20,12,15,25,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,1,0,0,0,0,0,0,0x88af53c,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
WyvernRider2,0x2ce,0x31a,WyvernRider2,0x21,WyvernRiderSprite,0,0x80,0xd,20,7,3,5,8,0,10,7,60,20,20,20,20,20,25,2,80,45,35,30,25,15,25,0,0,0,0,0,0,0x3,DragonIcon,0x0,0x0,0,31,0,0,0,0,0,0,0x88af1d0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
ArcherM2,0x2cb,0x317,ArcherM2,0x1b,ArcherSprite,0,0x80,0xa,18,4,3,3,3,0,7,5,60,20,20,20,20,20,20,2,70,35,40,32,15,15,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
ArcherF2,0x2cb,0x317,ArcherF2,0x1c,ArcherFSprite,0,0x80,0xa,17,3,3,4,3,0,7,5,60,20,20,20,20,20,20,2,70,35,40,32,15,20,35,0,0,0,0,0,0,0x80,0x0,0x0,0x0,0,0,0,31,0,0,0,0,0x88af168,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
MercenaryM2,0x2c6,0x312,MercenaryM2,0x11,MercenarySprite,0,0x80,0x3,18,4,8,8,4,0,9,5,60,20,20,20,20,20,20,2,80,40,40,32,18,20,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0b8,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
MercenaryF2,0x2c6,0x312,MercenaryF2,0x12,MercenaryFSprite,0,0x80,0x3,16,3,5,6,2,0,8,5,60,20,20,20,20,20,20,2,80,40,40,32,18,30,30,0,0,0,0,0,0,0x0,0x0,0x0,0x0,31,0,0,0,0,0,0,0,0x88af0c4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter2,0x2dc,0x327,Fighter2,0x40,FighterSprite,0,0x80,0x23,20,5,2,4,2,0,11,5,60,20,20,20,20,20,20,2,85,55,35,30,15,15,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af434,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Brigand2,0x2de,0x329,Brigand2,0x43,BrigandSprite,0,0x80,0x0,20,5,1,5,3,0,12,5,60,20,20,20,20,20,20,2,82,50,30,20,10,13,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af468,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate2,0x2ee,0x33a,Pirate2,0x43,PirateSprite,0,0x80,0x24,19,4,2,6,3,0,10,5,60,20,20,20,20,20,20,2,75,50,35,25,10,13,15,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0,0,31,0,0,0,0,0,0x88af480,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
MyrmidonM2,0x2c8,0x314,MyrmidonM2,0x15,MyrmidonSprite,0,0x80,0x5,16,4,8,8,2,0,8,5,60,20,20,20,20,20,20,2,70,35,40,40,15,20,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af108,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
MyrmidonF2,0x2c8,0x314,MyrmidonF2,0x16,MyrmidonFSprite,0,0x80,0x5,15,3,9,8,1,1,5,5,60,20,20,20,20,20,20,2,70,35,40,40,15,20,30,0,0,0,0,0,0,0x0,0x0,0x2,0x0,31,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
PegasusKnight2,0x2e7,0x333,PegasusKnight2,0x49,PegasusKnightSprite,0,0x80,0x10,14,4,5,5,3,2,5,7,60,20,20,20,20,20,25,2,65,35,40,40,12,35,35,0,0,0,0,0,0,0x3,PegIcon,0x0,0x0,0,31,0,0,0,0,0,0,0x88af4dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Halberdier,HalberdierNameText,HalberdierDescText,Halberdier,0x0,HalberdierSprite,0,HalberdierCard,0x0,24,6,5,7,4,5,9,6,60,25,28,28,25,27,25,3,80,30,40,40,20,25,30,2,3,2,3,1,3,CritBoost,IsPromoted,0x0,0x0,0,Crank,0,0,0,0,0,0,HalberdierAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sentinel,SentinelNameText,SentinelDescText,Sentinel,0x0,SentinelSprite,1,SentinelCard,0x0,26,8,6,5,10,4,12,6,60,27,28,26,27,25,25,3,75,45,35,30,25,15,35,4,2,1,0,3,2,0x0,IsPromoted,0x0,0x0,Crank,Crank,Crank,0,0,0,0,0,SentinelAnim|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
JacketHero,0x2c7,0x313,JacketHero,0x0,JacketHeroSprite,0,0x80,0x0,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,0x0,IsPromoted,0x0,0x0,Arank,0,Brank,0,0,0,0,0,JacketHeroAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Basileus,BasileusNameText,BasileusDescText,Basileus,0x0,BaseliusSprite,0,0x80,0x0,24,7,6,7,6,0,13,6,60,30,29,28,23,21,25,3,75,50,35,25,10,13,15,4,1,1,1,2,2,0x0,IsPromoted,0x0,0x0,0,0,Brank,0,0,0,0,0,BasileusAnim|IsPointer,0x880b90c,0x880bd5d,0x880c16d,0x880c479,0x880c4ba,0x880c4fb,0x0
HectorClass,GuardianNameText,GuardianClassDescText,HectorClass,0x0,HectorSprite,1,0x80,0x0,21,10,4,5,12,2,15,6,60,30,25,25,30,25,25,3,75,45,30,30,50,20,30,4,1,1,1,2,2,0x0,IsPromoted,0x0,0x0,Arank,Brank,Brank,0,0,0,0,0,HectorAnim|IsPointer,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Trueerblade,LegendNameText,LegendDescText,Trueerblade,0x0,TruerbladeSprite,0,0x80,0x0,21,6,11,10,5,2,9,6,60,24,29,30,22,23,20,4,65,25,30,30,15,22,25,5,2,0,0,2,1,0x40,0x1,0x2,0x0,Srank,0,0,0,0,0,0,0,TruerbladeAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
GaidenSage,GaidenSageNameText,GaidenSageDescText,GaidenSage,0x0,GaidenSageSprite,0,0x80,0x0,20,8,7,6,5,8,7,6,60,28,30,26,21,25,20,3,45,45,40,30,10,40,30,4,1,0,0,3,3,0x0,IsPromoted,0x0,0x0,0,0,0,0,Brank,Arank,Crank,0,GaidenSageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
IzukClass,0x2d2,0x31e,IzukClass,0x0,IzukSprite,0,0x80,0x0,20,5,4,4,5,5,7,6,60,28,30,26,21,25,20,3,45,45,30,25,10,40,15,4,1,0,0,3,3,0x0,IsPromoted,0x0,0x0,0,0,0,0,0,Arank,0,Crank,IzukAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
BattleSageF,BattleSageNameText,BattleSageDescText,BattleSageF,0x0,BattleSageFSprite,0,BattleSageFCard,0x0,27,9,10,9,7,7,9,6,60,29,27,27,25,24,25,3,75,30,35,35,25,25,25,3,1,3,2,0,3,0x0,IsPromoted,0x0,0x0,Crank,0,0,0,0,Drank,0,0,BattleSageFAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
NarratorClass,NarratorNameText,NarratorDescText,NarratorClass,0x0,HarbingerSprite,0,0x80,0x0,40,15,20,19,12,14,11,6,80,30,30,30,25,25,20,4,85,30,40,35,15,20,40,0,0,0,0,0,0,0x0,IsPromoted,0x2,0x0,Srank,0,Srank,0,0,Arank,0,Arank,HarbingerAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Warlock,WarlockNameText,WarlockDescText,Warlock,0x0,WarlockSprite,0,0x80,0x0,28,8,5,6,5,0,13,6,60,30,28,26,26,22,25,3,80,45,25,20,16,17,15,3,1,2,0,3,3,0x0,IsPromoted,0x0,0x0,0,0,Arank,0,Drank,0,0,0,WarlockAnim|IsPointer,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
SpearHero,AssailantNameText,SpearHeroDescText,SpearHero,0x0,SpearHeroSprite,0,0x80,0x0,22,6,9,10,8,2,11,6,60,25,30,26,25,22,25,3,75,30,30,20,20,20,25,4,1,2,2,2,2,0x0,0x1,0x0,0x0,Arank,Srank,Arank,0,0,0,0,0,SpearHeroAnim|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
XeximClass,ShadowNameText,XeximClassDescText,XeximClass,0xd,XeximSprite,0,0x80,0x0,16,3,1,9,2,0,8,6,60,20,30,30,20,20,20,3,50,5,45,40,5,20,40,3,1,0,0,2,2,0x8,0x1,0x2,0x2,Arank,0,0,Brank,0,0,0,0,XeximAnim|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
GrandPaladin,CommanderNameText,CommanderDescText,GrandPaladin,0x5,GrandPaladinSprite,0,0x81,0x0,23,7,4,7,8,3,11,8,60,25,26,24,25,25,25,3,70,25,30,18,12,20,25,2,1,1,1,2,1,0x3,0x5,0x0,0x0,Brank,Arank,Brank,0,0,0,0,0,GrandPaladinAnim|IsPointer,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
HolySage,0x2d2,0x31e,HolySage,0x26,HolySageSprite,0,0x7d,0x13,19,3,6,5,3,6,4,6,60,22,28,26,21,25,20,3,45,15,30,25,10,40,15,3,1,1,0,3,3,0x0,0x1,0x0,0x0,0,0,0,0,Arank,0,Srank,Arank,HolySageAnim|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
